Ministry,Request #,Applicant,Description,End Date,Disposition,Publication Status,Reason
Aboriginal Relations and Reconciliation,ARR-2011-00028,Political Party,"All records, in any form, related to the Minister's or Minister of State's Outlook calendar for the timeframe of April 1, 2011 to June 30, 2011 in Calendar Detail Style.", 02-Aug-2011,Partial Disclosure,Do Not Publish,Security Information
Aboriginal Relations and Reconciliation,ARR-2011-00029,Political Party,"All records, in any form, related to the Ministerial Assistant's Outlook calendar for the timeframe of April 1, 2011 to June 30, 2011 in Calendar Detail Style.", 02-Aug-2011,Partial Disclosure,Do Not Publish,Security Information
Aboriginal Relations and Reconciliation,ARR-2011-00030,Political Party,"All records, in any form, related to the Deputy Minister's Outlook calendar for the timeframe of April 1, 2011 to June 30, 2011 in Calendar Detail Style.", 10-Aug-2011,Partial Disclosure,Do Not Publish,Security Information
Aboriginal Relations and Reconciliation,ARR-2011-00035,Political Party,"All records, in any form, related to the Deputy Minister's Outlook calendar for the timeframe of July 1, 2011 to July 31, 2011.", 26-Oct-2011,Partial Disclosure,Do Not Publish,Security Information
Aboriginal Relations and Reconciliation,ARR-2011-00037,Political Party,"All records, in any form, related to the Minister's Outlook calendar for the timeframe of July 1, 2011 to July 31, 2011.", 01-Sep-2011,Partial Disclosure,Do Not Publish,Security Information
Aboriginal Relations and Reconciliation,ARR-2011-00039,Interest Group,"All briefing and information notes, meeting minutes, email and regular mail correspondence regarding Enbridge Northern Gateway Project including those internal to Ministries, between Ministries and with Enbridge and its representatives for the period January 2009 to [August 17, 2011].  Records should exclude any documents that are publically available on the NEB or CEAA websites - this includes the 8 volume Enbridge Application and any documents publicly available on the EAO website.", 17-Jan-2012,Full Disclosure,Do Not Publish,Business Information
Aboriginal Relations and Reconciliation,ARR-2011-00043,Political Party,"Any and all records related to the Assistant Deputy Minister's Outlook calendar for the timeframe of January 1, 2011 to July 31, 2011", 03-Oct-2011,Partial Disclosure,Do Not Publish,Security Information
Aboriginal Relations and Reconciliation,ARR-2011-00045,Political Party,"The Minister's Outlook calendar for the timeframe of August 1, 2011 to August 31, 2011.", 18-Oct-2011,Partial Disclosure,Do Not Publish,Security Information
Aboriginal Relations and Reconciliation,ARR-2011-00046,Political Party,"The Deputy Minister's Outlook calendar for the timeframe of August 1, 2011 to August 31, 2011.", 18-Oct-2011,Partial Disclosure,Do Not Publish,Security Information
Aboriginal Relations and Reconciliation,ARR-2011-00047,Political Party,"The Ministerial Assistant's Outlook calendar for the timeframe of August 1, 2011 to August 31, 2011.", 18-Oct-2011,Full Disclosure,Do Not Publish,Security Information
Aboriginal Relations and Reconciliation,ARR-2011-00052,Political Party,"The Assistant Deputy Minister's Outlook calendar for the timeframe of August 1, 2011 to August 31, 2011.", 18-Oct-2011,Partial Disclosure,Do Not Publish,Security Information
Aboriginal Relations and Reconciliation,ARR-2011-00062,Political Party,"The Deputy Minister's Outlook calendar for the timeframe of September 1, 2011 to September 30, 2011.", 04-Nov-2011,Partial Disclosure,Do Not Publish,Security Information
Aboriginal Relations and Reconciliation,ARR-2011-00063,Political Party,"The Minister's Outlook calendar for the timeframe of September 1, 2011 to September 30, 2011.", 04-Nov-2011,Partial Disclosure,Do Not Publish,Security Information
Aboriginal Relations and Reconciliation,ARR-2011-00064,Political Party,"The Ministerial Assistant's Outlook calendar for the timeframe of September 1, 2011 to September 30, 2011.", 28-Oct-2011,Full Disclosure,Do Not Publish,Security Information
Aboriginal Relations and Reconciliation,ARR-2011-00065,Political Party,"The Assistant Deputy Minister's Outlook calendar for the timeframe of September 1, 2011 to September 30, 2011", 08-Nov-2011,Partial Disclosure,Do Not Publish,Security Information
Aboriginal Relations and Reconciliation,ARR-2011-00069,Individual,"Any records, excluding emails, related to the Northern Gateway pipeline, including but not limited to records of First Nation consultation and the joint panel review with the National Energy Board, dated from June 1, 2011.", 23-Feb-2012,Partial Disclosure,Do Not Publish,Business Information
Aboriginal Relations and Reconciliation,ARR-2011-00075,Media,"All records (electronic or otherwise) in relation to the Klahoose First Nations community and their relationships with General Electric and Plutonic Power including, but not limited to all financial statements, briefing notes, correspondence, reports, summaries and documents.  Time period is January 1, 2004 - [December 12, 2011].", 08-Mar-2012,Partial Disclosure,Do Not Publish,Business Information
Aboriginal Relations and Reconciliation,ARR-2012-00002,Political Party,"The Deputy Minister's Outlook calendar for the timeframe October 31, 2011 to December 31, 2011.", 20-Feb-2012,Partial Disclosure,Do Not Publish,Security Information
Aboriginal Relations and Reconciliation,ARR-2012-00003,Political Party,"The Outlook Calendar of the Minister's Office Administrative Assistant for the timeframe October 31, 2011 to December 31, 2011.", 21-Feb-2012,Full Disclosure,Do Not Publish,Security Information
Aboriginal Relations and Reconciliation,ARR-2012-00004,Political Party,"The Minister's Outlook calendar for the timeframe October 31, 2011 to December 31, 2011.", 20-Feb-2012,Partial Disclosure,Do Not Publish,Security Information
Aboriginal Relations and Reconciliation,ARR-2012-00005,Political Party,"The Assistant Deputy Minister's Outlook calendar for the timeframe Oct 31, 2011 to Dec 31, 2011.", 20-Feb-2012,Partial Disclosure,Do Not Publish,Security Information
Aboriginal Relations and Reconciliation,ARR-2012-00006,Political Party,"The Ministerial Assistant's Outlook calendar for the timeframe October 31, 2011 to December 31, 2011.", 20-Feb-2012,Partial Disclosure,Do Not Publish,Security Information
Aboriginal Relations and Reconciliation,ARR-2012-00007,Media,"The Minister's Outlook calendar for the period January 1, 2011 to September 30, 2011.", 13-Feb-2012,Partial Disclosure,Do Not Publish,Security Information
Aboriginal Relations and Reconciliation,ARR-2012-00016,Political Party,"The Minister and Minister of State's Outlook calendar for the timeframe January 1, 2012 to March 31, 2012.", 15-May-2012,Partial Disclosure,Do Not Publish,Security Information
Aboriginal Relations and Reconciliation,ARR-2012-00017,Political Party,"The Minister's Office Administrative Assistant's Outlook Calendar for the timeframe January 1, 2012 to March 31, 2012.", 14-May-2012,Partial Disclosure,Do Not Publish,Security Information
Aboriginal Relations and Reconciliation,ARR-2012-00018,Political Party,"The Ministerial Assistant's Outlook calendar for the timeframe January 1, 2012 to March 31, 2012.", 14-May-2012,Partial Disclosure,Do Not Publish,Security Information
Aboriginal Relations and Reconciliation,ARR-2012-00019,Political Party,"The Assistant Deputy Minister's Outlook calendar for the timeframe January 1, 2012 to March 31, 2012.", 09-Aug-2012,Partial Disclosure,Do Not Publish,Security Information
Aboriginal Relations and Reconciliation,ARR-2012-00020,Political Party,"The Deputy Minister's Outlook calendar for the timeframe January 1, 2012 to March 31, 2012.", 15-May-2012,Partial Disclosure,Do Not Publish,Security Information
Aboriginal Relations and Reconciliation,ARR-2012-00032,Political Party,"The Assistant Deputy Minister's Outlook calendar for the timeframes October 1, 2011 - October 31, 2011 and April 1, 2012 - May 31, 2012.", 02-Oct-2012,Partial Disclosure,Do Not Publish,Security Information
Aboriginal Relations and Reconciliation,ARR-2012-00033,Political Party,"The Deputy Minister's Outlook calendar for the timeframes October 1, 2011 - October 31, 2011 and April 1, 2012 - May 31, 2012", 19-Jul-2012,Partial Disclosure,Do Not Publish,Security Information
