Occurred_Date_From,ReformattedTime,DateTime,Occurred_Time_From,Description,district,Weekday,Month,Year,100 Block,100 Block CLEANED,AddressConsolidated,Lat,Long,,
1-1-08,12:00 AM,1-1-08 12:00 AM,0,THEFT BICYCLE UNDER $5000,4,3,January,2008,600 W 7TH AVE   ,600 W 7TH AVE,600 W 7TH AVE,49.2650084,-123.1175568,,
1-1-08,12:00 AM,1-1-08 12:00 AM,0,THEFT BICYCLE UNDER $5000,4,3,January,2008,700 W 7TH AVE   ,700 W 7TH AVE,700 W 7TH AVE,49.2650395,-123.1199121,,
1-1-08,12:00 PM,1-1-08 12:00 PM,1200,THEFT BICYCLE UNDER $5000,4,3,January,2008,3500 MAIN ST    ,3500 MAIN ST,3500 MAIN ST,49.2538883,-123.1008911,,
1-4-08,6:00 PM,1-4-08 6:00 PM,1800,THEFT BICYCLE UNDER $5000,4,6,January,2008,3200 W 3RD AVE   ,3200 W 3RD AVE,3200 W 3RD AVE,49.2693585,-123.1758216,,
1-6-08,8:00 AM,1-6-08 8:00 AM,800,THEFT BICYCLE UNDER $5000,1,1,January,2008,1000 W GEORGIA ST   ,1000 W GEORGIA ST,1000 W GEORGIA ST,49.2844808,-123.1212127,,
1-6-08,10:30 PM,1-6-08 10:30 PM,2230,THEFT BICYCLE UNDER $5000,4,1,January,2008,3300 W 2ND AVE   ,3300 W 2ND AVE,3300 W 2ND AVE,49.2702662,-123.1777122,,
1-7-08,12:00 PM,1-7-08 12:00 PM,1200,THEFT BICYCLE UNDER $5000,4,2,January,2008,7200 BLENHEIM ST    ,7200 BLENHEIM ST,7200 BLENHEIM ST,49.2206499,-123.1789266,,
1-8-08,9:00 AM,1-8-08 9:00 AM,900,THEFT BICYCLE UNDER $5000,4,3,January,2008,1300 CARTWRIGHT ST    ,1300 CARTWRIGHT ST,1300 CARTWRIGHT ST,49.2697945,-123.1338688,,
1-8-08,12:00 PM,1-8-08 12:00 PM,1200,THEFT BICYCLE UNDER $5000,1,3,January,2008,1100 BURNABY ST    ,1100 BURNABY ST,1100 BURNABY ST,49.2797459,-123.1323765,,
1-8-08,6:30 PM,1-8-08 6:30 PM,1830,THEFT BICYCLE UNDER $5000,4,3,January,2008,2800 W 6TH AVE   ,2800 W 6TH AVE,2800 W 6TH AVE,49.2666396,-123.1685211,,
1-9-08,12:00 PM,1-9-08 12:00 PM,1200,THEFT BICYCLE UNDER $5000,4,4,January,2008,2200 YORK AVE    ,2200 YORK AVE,2200 YORK AVE,49.2715712,-123.1552345,,
1-10-08,8:00 AM,1-10-08 8:00 AM,800,THEFT BICYCLE UNDER $5000,3,5,January,2008,3400 KNIGHT ST    ,3400 KNIGHT ST,3400 KNIGHT ST,49.2539344,-123.0758846,,
1-10-08,9:00 AM,1-10-08 9:00 AM,900,THEFT BICYCLE UNDER $5000,4,5,January,2008,3100 W 4TH AVE   ,3100 W 4TH AVE,3100 W 4TH AVE,49.2684324,-123.1739047,,
1-10-08,10:00 AM,1-10-08 10:00 AM,1000,THEFT BICYCLE UNDER $5000,4,5,January,2008,3100 W 4TH AVE   ,3100 W 4TH AVE,3100 W 4TH AVE,49.2684324,-123.1739047,,
1-10-08,4:45 PM,1-10-08 4:45 PM,1645,THEFT BICYCLE UNDER $5000,4,5,January,2008,0 W 10TH AVE   ,0 W 10TH AVE,0 W 10TH AVE,49.2620734,-123.1051292,,
