FSA,Region,City,Neighbourhood-VanOnly
V5A,Metro Vancouver,Burnaby,
V5B,Metro Vancouver,Burnaby,
V5C,Metro Vancouver,Burnaby,
V5E,Metro Vancouver,Burnaby,
V5G,Metro Vancouver,Burnaby,
V5H,Metro Vancouver,Burnaby,
V5J,Metro Vancouver,Burnaby,
V3N,Metro Vancouver,Burnaby,
V3E,Metro Vancouver,Coquitlam,
V3J,Metro Vancouver,Coquitlam,
V3K,Metro Vancouver,Coquitlam,
V4C,Metro Vancouver,Delta,
V4E,Metro Vancouver,Delta,
V4G,Metro Vancouver,Delta,
V4K,Metro Vancouver,Delta,
V4L,Metro Vancouver,Delta,
V4M,Metro Vancouver,Delta,
V3A,Metro Vancouver,Langley City,
V1M,Metro Vancouver,Langley Township,
V4W,Metro Vancouver,Langley Township,
V2Y,Metro Vancouver,Langley Township,
V2Z,Metro Vancouver,Langley Township,
V4R,Metro Vancouver,Maple Ridge,
V2W,Metro Vancouver,Maple Ridge,
V2X,Metro Vancouver,Maple Ridge,
V4S,Metro Vancouver,Mission,
V2V,Metro Vancouver,Mission,
V3L,Metro Vancouver,New Westminster,
V3M,Metro Vancouver,New Westminster,
V7L,Metro Vancouver,North Vancouver (city),
V7M,Metro Vancouver,North Vancouver (city),
V7P,Metro Vancouver,North Vancouver (city),
V7G,Metro Vancouver,North Vancouver (district municipality),
V7H,Metro Vancouver,North Vancouver (district municipality),
V7J,Metro Vancouver,North Vancouver (district municipality),
V7K,Metro Vancouver,North Vancouver (district municipality),
V7N,Metro Vancouver,North Vancouver (district municipality),
V7R,Metro Vancouver,North Vancouver (district municipality),
V3Y,Metro Vancouver,Pitt Meadows,
V3B,Metro Vancouver,Port Coquitlam,
V3C,Metro Vancouver,Port Coquitlam,
V3H,Metro Vancouver,Port Moody,
V7A,Metro Vancouver,Richmond,
V7B,Metro Vancouver,Richmond,
V7C,Metro Vancouver,Richmond,
V7E,Metro Vancouver,Richmond,
V6V,Metro Vancouver,Richmond,
V6W,Metro Vancouver,Richmond,
V6X,Metro Vancouver,Richmond,
V6Y,Metro Vancouver,Richmond,
V4A,Metro Vancouver,Surrey,
V4N,Metro Vancouver,Surrey,
V4P,Metro Vancouver,Surrey,
V3R,Metro Vancouver,Surrey,
V3S,Metro Vancouver,Surrey,
V3T,Metro Vancouver,Surrey,
V3V,Metro Vancouver,Surrey,
V3W,Metro Vancouver,Surrey,
V3X,Metro Vancouver,Surrey,
V6B,Metro Vancouver,Vancouver,Downtown
V6C,Metro Vancouver,Vancouver,Downtown
V6E,Metro Vancouver,Vancouver,Downtown
V6G,Metro Vancouver,Vancouver,Downtown
V7X,Metro Vancouver,Vancouver,Downtown
V7Y,Metro Vancouver,Vancouver,Downtown
V6Z,Metro Vancouver,Vancouver,Downtown
V6A,Metro Vancouver,Vancouver,Eastside
V5K,Metro Vancouver,Vancouver,Eastside
V5L,Metro Vancouver,Vancouver,Eastside
V5M,Metro Vancouver,Vancouver,Eastside
V5N,Metro Vancouver,Vancouver,Eastside
V5P,Metro Vancouver,Vancouver,Eastside
V5R,Metro Vancouver,Vancouver,Eastside
V5S,Metro Vancouver,Vancouver,Eastside
V5T,Metro Vancouver,Vancouver,Eastside
V5V,Metro Vancouver,Vancouver,Eastside
V5W,Metro Vancouver,Vancouver,Eastside
V5X,Metro Vancouver,Vancouver,Eastside
V6H,Metro Vancouver,Vancouver,Westside
V6J,Metro Vancouver,Vancouver,Westside
V6K,Metro Vancouver,Vancouver,Westside
V6L,Metro Vancouver,Vancouver,Westside
V6M,Metro Vancouver,Vancouver,Westside
V6N,Metro Vancouver,Vancouver,Westside
V6P,Metro Vancouver,Vancouver,Westside
V6R,Metro Vancouver,Vancouver,Westside
V6S,Metro Vancouver,Vancouver,Westside
V6T,Metro Vancouver,Vancouver,Westside
V5Y,Metro Vancouver,Vancouver,Westside
V5Z,Metro Vancouver,Vancouver,Westside
V7S,Metro Vancouver,West Vancouver,
V7T,Metro Vancouver,West Vancouver,
V7V,Metro Vancouver,West Vancouver,
V7W,Metro Vancouver,West Vancouver,
V4B,Metro Vancouver,White Rock,
V3G,Not Metro Vancouver,Abbotsford,
V2S,Not Metro Vancouver,Abbotsford,
V2T,Not Metro Vancouver,Abbotsford,
V4X,Not Metro Vancouver,Abbotsford,
V0W,Not Metro Vancouver,Atlin Region,
V9H,Not Metro Vancouver,Campbell River,
V9W,Not Metro Vancouver,Campbell River,
V0K,Not Metro Vancouver,"Cariboo, Fraser Canyon and Western Okanagan",
V1N,Not Metro Vancouver,Castlegar,
V9X,Not Metro Vancouver,Cedar,
V0R,Not Metro Vancouver,Central and South Vancouver Island,
V0L,Not Metro Vancouver,Chilcotin,
V2P,Not Metro Vancouver,Chilliwack,
V2R,Not Metro Vancouver,Chilliwack,
V4Z,Not Metro Vancouver,Chilliwack,
V9M,Not Metro Vancouver,Comox,
V9J,Not Metro Vancouver,Courtenay,
V9N,Not Metro Vancouver,Courtenay,
V1C,Not Metro Vancouver,Cranbrook,
V1G,Not Metro Vancouver,Dawson Creek,
V9L,Not Metro Vancouver,Duncan,
V0B,Not Metro Vancouver,East Kootenays,
V1J,Not Metro Vancouver,Fort St. John,
V9A,Not Metro Vancouver,Greater Victoria,
V9B,Not Metro Vancouver,Greater Victoria,
