FSA,Place,Count,Population,Rate,Note
V6K,Vancouver,9081,25556,0.355337298,
V8S,Greater Victoria,5854,16710,0.350329144,
V8V,Greater Victoria,8109,24260,0.334253916,
V6R,Vancouver,6240,18891,0.330316024,
V6H,Vancouver,5411,17046,0.317435175,
V6J,Vancouver,6686,21206,0.315288126,
V8L,Greater Victoria,7168,22800,0.314385965,
V9M,Comox,5239,16707,0.313581134,
V2C,Kamloops,7036,22781,0.308853869,
V9N,Courtenay,8679,28608,0.303376678,
V7W,West Vancouver,2598,8626,0.301182472,
V8R,Greater Victoria,6866,22945,0.299237307,
V8W,Greater Victoria,1343,4516,0.297387068,
V8X,Greater Victoria,6572,22240,0.295503597,
V7G,North Vancouver (district municipality),3412,11672,0.292323509,
V9E,Greater Victoria,1418,4965,0.285599194,
V8K,Saltspring Island,2918,10237,0.285044447,
V1Y,Kelowna,8844,31344,0.282159265,
V8M,Greater Victoria,4347,15515,0.280180471,
V9A,Greater Victoria,9972,35689,0.279413825,
V8Y,Greater Victoria,2762,9906,0.278820917,
V6G,Vancouver,7071,25427,0.278090219,
V8P,Greater Victoria,4881,17612,0.277140586,
V0N,"North Vancouver Island, Sunshine Coast, Sea-to-Sky Country and Southern Gulf Islands",21095,76287,0.276521557,
V2E,Kamloops,3882,14076,0.275788576,
V6S,Vancouver,2708,9854,0.274812259,
V9K,Qualicum Beach,4089,14922,0.27402493,
V7R,North Vancouver (district municipality),4071,14955,0.27221665,
V0R,Central and South Vancouver Island,17167,63089,0.272107657,
V1T,Vernon,7326,27120,0.270132743,
V8N,Greater Victoria,6528,24192,0.26984127,
V7N,North Vancouver (district municipality),4003,14860,0.269380888,
V4L,Delta,2093,7833,0.26720286,
V7H,North Vancouver (district municipality),3308,12418,0.266387502,
V9V,Nanaimo,2803,10534,0.266090754,
V7V,West Vancouver,3946,14935,0.264211584,
V7K,North Vancouver (district municipality),3228,12317,0.262076804,
V0A,Upper Columbia Region,3454,13197,0.26172615,
V1A,Kimberley,1976,7574,0.260892527,
V9P,Parksville,6273,24175,0.259482937,
V4M,Delta,3696,14287,0.258696717,
V1L,Nelson,4256,16512,0.257751938,
V9J,Courtenay,2195,8537,0.257116083,
V1B,Vernon,5241,20468,0.256058237,
V1C,Cranbrook,6193,24355,0.254280435,
V1Z,West Kelowna,3370,13381,0.251849638,
V8T,Greater Victoria,4778,18975,0.251805007,
V9W,Campbell River,7024,27970,0.251126207,
V8A,Powell River,4524,18021,0.251040453,
V7L,North Vancouver (city),6166,24620,0.250446791,
V6T,Vancouver,3010,12056,0.249668215,
V4B,White Rock,4824,19339,0.249444128,
V9T,Nanaimo,7570,30415,0.24889035,
V0G,West Kootenays,6364,25770,0.246953822,
V6E,Vancouver,6245,25385,0.246011424,
V5Z,Vancouver,5246,21413,0.24499136,
V0P,North Central Vancouver Island and Discovery Islands,1720,7029,0.244700526,
V6C,Vancouver,488,1995,0.244611529,
V1W,Kelowna,7728,31679,0.243947094,
V4A,Surrey,8772,36012,0.243585472,
V2A,Penticton,8903,36594,0.24329125,
V1V,Kelowna,4584,18855,0.243118536,
V0H,Southeast Okanagan and Boundary Country,12607,51870,0.243049933,
V9S,Nanaimo,3810,15728,0.242243133,
V1S,Kamloops,2549,10530,0.242070275,
V8Z,Greater Victoria,7103,29370,0.24184542,
V6N,Vancouver,3436,14290,0.240447866,
V9C,Greater Victoria,4796,20069,0.238975534,
V0E,"High Country, Shuswap and Northeast Okanagan",15368,64561,0.238038444,
V1R,Trail,2374,9989,0.237661428,
V4K,Delta,5766,24439,0.235934367,
V2J,Quesnel,5422,23107,0.234647509,
V1E,Salmon Arm,4487,19133,0.234516281,
V7P,North Vancouver (city),2735,11684,0.234080794,
V7J,North Vancouver (district municipality),3692,15823,0.233331227,
V2G,Williams Lake,4276,18409,0.23227769,
V4V,Winfield,3175,13701,0.23173491,
V0B,East Kootenays,7299,31610,0.230907941,
V7T,West Vancouver,2106,9129,0.230693395,
V0X,Similkameen Region,4591,19974,0.229848803,
V4P,Surrey,2788,12143,0.229597299,
V3A,Langley City,9315,40689,0.228931652,
V2N,Prince George,7041,30969,0.227356389,
V2M,Prince George,5232,23054,0.226945432,
V9R,Nanaimo,5864,26084,0.224812145,
V0K,"Cariboo, Fraser Canyon and Western Okanagan",7298,32533,0.224326069,
V7M,North Vancouver (city),4081,18244,0.22368998,
V2K,Prince George,4579,20478,0.223605821,
V2B,Kamloops,8379,37512,0.223368522,
V8C,Kitimat,1841,8335,0.220875825,
V5Y,Vancouver,2901,13160,0.220440729,
V5L,Vancouver,4010,18454,0.217297063,
V9B,Greater Victoria,8500,39182,0.216936348,
V4T,West Kelowna,5481,25267,0.21692326,
V1M,Langley Township,6645,30664,0.216703626,
V1X,Kelowna,6921,32197,0.214957915,
V5T,Vancouver,4699,21905,0.214517234,
V3L,New Westminster,5459,25743,0.212057647,
V9L,Duncan,7176,33894,0.211718888,
V9Y,Port Alberni,5410,25628,0.211097237,
V2X,Maple Ridge,9731,46460,0.209448988,
V1G,Dawson Creek,3024,14539,0.207992297,
V2L,Prince George,1955,9470,0.206441394,
V1N,Castlegar,2488,12169,0.20445394,
V2S,Abbotsford,9523,46674,0.204032224,
V1H,Vernon,2534,12423,0.203976495,
V9X,Cedar,1982,9751,0.203261204,
V6Z,Vancouver,3209,15979,0.200826084,
V9G,Ladysmith,2814,14037,0.200470186,
V9H,Campbell River,1660,8302,0.199951819,
V4E,Delta,2417,12120,0.199422442,
V2P,Chilliwack,6890,34689,0.198622042,
V2H,Kamloops,1195,6066,0.19699967,
V2Z,Langley Township,2969,15090,0.196752816,
V6L,Vancouver,2102,10833,0.19403674,
V3Y,Pitt Meadows,3434,17982,0.190968747,
V1P,Kelowna,1352,7088,0.190744921,
V2R,Chilliwack,8401,44088,0.190550717,
V3H,Port Moody,6877,36534,0.188235616,
V4W,Langley Township,3615,19411,0.186234609,
V2V,Mission,5947,31985,0.185930905,
V8G,Terrace,3482,18793,0.185281754,
V3C,Port Coquitlam,6942,37575,0.184750499,
V3J,Coquitlam,7162,39659,0.180589526,
V6M,Vancouver,3019,16853,0.179137246,
V7S,West Vancouver,1946,10927,0.178090967,
V0J,Omineca and Yellowhead,9378,53578,0.175034529,
V0M,Harrison Lake Region,1960,11207,0.174890693,
V4R,Maple Ridge,2287,13221,0.172982377,
V3G,Abbotsford,4012,23259,0.172492369,
V6B,Vancouver,4221,24814,0.170105586,
V1K,Merritt,1651,9772,0.168952108,
V3B,Port Coquitlam,8421,49852,0.168920003,
V7E,Richmond,6374,37873,0.168299316,
V3K,Coquitlam,5034,29992,0.167844759,
V1J,Fort St. John,4006,23959,0.167202304,
V8J,Prince Rupert,2102,12620,0.166561014,
V3M,New Westminster,6644,40183,0.165343553,
V0L,Chilcotin,797,4846,0.164465539,
V0C,Northern British Columbia,4505,27439,0.164182368,
V5A,Burnaby,3906,23803,0.164096963,
V6W,Richmond,190,1174,0.161839864,
V5V,Vancouver,3720,23132,0.160816185,
V4C,Delta,6645,41812,0.158925667,
V4X,Abbotsford,1711,10917,0.156728039,
V2W,Maple Ridge,2518,16376,0.153761602,
V5G,Burnaby,2896,19205,0.150794064,
V5N,Vancouver,4952,33157,0.149350062,
V0T,Inside Passage and Haida Gwaii,1316,8830,0.149037373,
V6P,Vancouver,4496,30879,0.14560057,
V3S,Surrey,14472,105549,0.137111673,
V5B,Burnaby,3028,22312,0.135711725,
V5J,Burnaby,2738,20331,0.134671192,
V4Z,Chilliwack,528,3924,0.134556575,
V7A,Richmond,3544,26346,0.134517574,
V2T,Abbotsford,7047,52912,0.133183399,
V3E,Coquitlam,4512,33970,0.132823079,
V6A,Vancouver,2306,17674,0.130474143,
V2Y,Langley Township,3071,23950,0.12822547,
V4S,Mission,832,6493,0.128137995,
V3N,Burnaby,4758,37216,0.127848237,
V5K,Vancouver,2871,22545,0.127345309,
V5C,Burnaby,3592,28373,0.126599232,
V7C,Richmond,4951,39166,0.126410662,
V3X,Surrey,2736,21830,0.125332112,
V3R,Surrey,6910,55219,0.125138087,
V5W,Vancouver,2343,19219,0.121910609,
V5S,Vancouver,3169,27736,0.114255841,
V5E,Burnaby,2985,26291,0.113536952,
V5H,Burnaby,4032,35943,0.112177615,
V6V,Richmond,1229,11210,0.109634255,
V3T,Surrey,3558,33444,0.106386796,
V3W,Surrey,8512,89171,0.095457043,
V3V,Surrey,4359,46707,0.093326482,
V4N,Surrey,6182,68420,0.090353698,
V6Y,Richmond,4000,44769,0.08934754,
V8B,Squamish,818,9400,0.087021277,
V5M,Vancouver,1936,22729,0.085177527,
V0V,Lower Skeena Region,176,2202,0.079927339,
V6X,Richmond,2194,29146,0.075276196,
V5R,Vancouver,3363,45899,0.07326957,
V5P,Vancouver,2333,32082,0.072719905,
V5X,Vancouver,1952,28509,0.068469606,
V9Z,Sooke,685,15614,0.043870885,
V0W,Atlin Region,,,,"Data for this postal code area was not included on the map because its population is less than 1,000."
V0S,Juan de Fuca Shore,,,,"Data for this postal code area was not included on the map because its population is less than 1,000."
V4G,Delta,,,,"Data for this postal code area was not included on the map because its population is less than 1,000."
V7B,Richmond,,,,"Data for this postal code area was not included on the map because its population is less than 1,000."
V7Y,Vancouver,,,,"Data for this postal code area was not included on the map because its population is less than 1,000."
