CTUID,CTUIDText,CSDSimple,CSDNAME,CSDTYPE
9330147.01,9330147.01,Richmond,Richmond,CY
9330187.14,9330187.14,Surrey,Surrey,CY
9330203,9330203.00,New Westminster,New Westminster,CY
9330134,9330134.00,West Vancouver,West Vancouver,DM
9330403.05,9330403.05,Maple Ridge,Maple Ridge,DM
9330116,9330116.00,North Vancovuer District,North Vancouver,DM
9330502.07,9330502.07,Langley District,Langley,DM
9330028,9330028.00,Vancouver,Vancouver,CY
9330504.13,9330504.13,Langley District,Langley,DM
9330504.07,9330504.07,Langley District,Langley,DM
9330221.01,9330221.01,Burnaby,Burnaby,CY
9330100.01,9330100.01,North Vancouver City,North Vancouver,CY
9330142.02,9330142.02,Richmond,Richmond,CY
9330282.02,9330282.02,Coquitlam,Coquitlam,CY
9330027.01,9330027.01,Vancouver,Vancouver,CY
9330149.05,9330149.05,Richmond,Richmond,CY
9330186.08,9330186.08,Surrey,Surrey,CY
9330400.02,9330400.02,Maple Ridge,Maple Ridge,DM
9330225.01,9330225.01,Burnaby,Burnaby,CY
9330143.01,9330143.01,Richmond,Richmond,CY
9330260.09,9330260.09,Port Moody,Port Moody,CY
9330143.02,9330143.02,Richmond,Richmond,CY
9330184.06,9330184.06,Surrey,Surrey,CY
9330111.03,9330111.03,North Vancovuer District,North Vancouver,DM
9330187.06,9330187.06,Surrey,Surrey,CY
9330101.04,9330101.04,North Vancouver City,North Vancouver,CY
9330060.02,9330060.02,Vancouver,Vancouver,CY
9330402.02,9330402.02,Maple Ridge,Maple Ridge,DM
9330053.02,9330053.02,Vancouver,Vancouver,CY
9330036.02,9330036.02,Vancouver,Vancouver,CY
9330502.05,9330502.05,Langley District,Langley,DM
9330004.01,9330004.01,Vancouver,Vancouver,CY
9330013.03,9330013.03,Vancouver,Vancouver,CY
9330184.16,9330184.16,Surrey,Surrey,CY
9330223.01,9330223.01,Burnaby,Burnaby,CY
9330206,9330206.00,New Westminster,New Westminster,CY
9330055.02,9330055.02,Vancouver,Vancouver,CY
9330149.08,9330149.08,Richmond,Richmond,CY
9330149.09,9330149.09,Richmond,Richmond,CY
9330180.02,9330180.02,Surrey,Surrey,CY
9330506.02,9330506.02,Langley District,Langley,DM
9330143.03,9330143.03,Richmond,Richmond,CY
9330185.1,9330185.10,Surrey,Surrey,CY
9330114.02,9330114.02,North Vancovuer District,North Vancouver,DM
9330006.02,9330006.02,Vancouver,Vancouver,CY
9330051.01,9330051.01,Vancouver,Vancouver,CY
9330189.05,9330189.05,Surrey,Surrey,CY
9330402.04,9330402.04,Maple Ridge,Maple Ridge,DM
9330503.01,9330503.01,Langley City,Langley,CY
9330504.06,9330504.06,Langley District,Langley,DM
9330144.04,9330144.04,Richmond,Richmond,CY
9330057.01,9330057.01,Vancouver,Vancouver,CY
9330201,9330201.00,New Westminster,New Westminster,CY
9330188.01,9330188.01,Surrey,Surrey,CY
9330501.01,9330501.01,Langley District,Langley,DM
9330205.02,9330205.02,New Westminster,New Westminster,CY
9330404.01,9330404.01,Maple Ridge,Maple Ridge,DM
9330111.02,9330111.02,North Vancovuer District,North Vancouver,DM
9330016.05,9330016.05,Vancouver,Vancouver,CY
9330162.03,9330162.03,Delta,Delta,DM
9330005,9330005.00,Vancouver,Vancouver,CY
9330059.09,9330059.09,Vancouver,Vancouver,CY
9330149.07,9330149.07,Richmond,Richmond,CY
9330144.05,9330144.05,Richmond,Richmond,CY
9330140.03,9330140.03,Richmond,Richmond,CY
9330187.13,9330187.13,Surrey,Surrey,CY
9330006.01,9330006.01,Vancouver,Vancouver,CY
9330163.08,9330163.08,Delta,Delta,DM
9330292.03,9330292.03,Port Coquitlam,Port Coquitlam,CY
9330163.05,9330163.05,Delta,Delta,DM
9330188.04,9330188.04,Surrey,Surrey,CY
9330035.01,9330035.01,Vancouver,Vancouver,CY
9330260.1,9330260.10,Port Moody,Port Moody,CY
9330113,9330113.00,North Vancovuer District,North Vancouver,DM
9330121,9330121.00,North Vancovuer District,North Vancouver,DM
9330287.09,9330287.09,Coquitlam,Coquitlam,CY
9330151.05,9330151.05,Richmond,Richmond,CY
9330163.04,9330163.04,Delta,Delta,DM
9330188.06,9330188.06,Surrey,Surrey,CY
9330057.02,9330057.02,Vancouver,Vancouver,CY
9330221.03,9330221.03,Burnaby,Burnaby,CY
9330204.01,9330204.01,New Westminster,New Westminster,CY
9330018.02,9330018.02,Vancouver,Vancouver,CY
9330183.03,9330183.03,Surrey,Surrey,CY
9330110.02,9330110.02,North Vancovuer District,North Vancouver,DM
9330180.01,9330180.01,Surrey,Surrey,CY
9330067.02,9330067.02,Vancouver,Vancouver,CY
9330190.04,9330190.04,Surrey,Surrey,CY
9330228.03,9330228.03,Burnaby,Burnaby,CY
9330149.02,9330149.02,Richmond,Richmond,CY
9330227.02,9330227.02,Burnaby,Burnaby,CY
9330209,9330209.00,New Westminster,New Westminster,CY
9330287.11,9330287.11,Coquitlam,Coquitlam,CY
9330239,9330239.00,Burnaby,Burnaby,CY
9330016.04,9330016.04,Vancouver,Vancouver,CY
9330003.02,9330003.02,Vancouver,Vancouver,CY
9330059.08,9330059.08,Vancouver,Vancouver,CY
9330200,9330200.00,New Westminster,New Westminster,CY
9330224.01,9330224.01,Burnaby,Burnaby,CY
9330504.11,9330504.11,Langley District,Langley,DM
9330064,9330064.00,Vancouver,Vancouver,CY
9330290.05,9330290.05,Port Coquitlam,Port Coquitlam,CY
9330401.02,9330401.02,Maple Ridge,Maple Ridge,DM
9330059.07,9330059.07,Vancouver,Vancouver,CY
9330140.04,9330140.04,Richmond,Richmond,CY
9330160.01,9330160.01,Delta,Delta,DM
9330059.11,9330059.11,Vancouver,Vancouver,CY
9330018.01,9330018.01,Vancouver,Vancouver,CY
9330260.08,9330260.08,Port Moody,Port Moody,CY
9330231,9330231.00,Burnaby,Burnaby,CY
9330056.02,9330056.02,Vancouver,Vancouver,CY
9330170.08,9330170.08,White Rock,White Rock,CY
9330023,9330023.00,Vancouver,Vancouver,CY
9330047.02,9330047.02,Vancouver,Vancouver,CY
9330181.09,9330181.09,Surrey,Surrey,CY
9330287.1,9330287.10,Coquitlam,Coquitlam,CY
9330222.01,9330222.01,Burnaby,Burnaby,CY
9330017.01,9330017.01,Vancouver,Vancouver,CY
9330181.06,9330181.06,Surrey,Surrey,CY
9330226.02,9330226.02,Burnaby,Burnaby,CY
9330224.02,9330224.02,Burnaby,Burnaby,CY
9330142.01,9330142.01,Richmond,Richmond,CY
9330286.01,9330286.01,Coquitlam,Coquitlam,CY
9330041.02,9330041.02,Vancouver,Vancouver,CY
9330160.03,9330160.03,Delta,Delta,DM
9330186.01,9330186.01,Surrey,Surrey,CY
9330292.04,9330292.04,Port Coquitlam,Port Coquitlam,CY
9330502.02,9330502.02,Langley District,Langley,DM
9330260.05,9330260.05,Port Moody,Port Moody,CY
9330291.02,9330291.02,Port Coquitlam,Port Coquitlam,CY
9330504.05,9330504.05,Langley District,Langley,DM
9330186.02,9330186.02,Surrey,Surrey,CY
9330287.12,9330287.12,Coquitlam,Coquitlam,CY
9330183.05,9330183.05,Surrey,Surrey,CY
9330284.02,9330284.02,Coquitlam,Coquitlam,CY
9330015.02,9330015.02,Vancouver,Vancouver,CY
9330181.1,9330181.10,Surrey,Surrey,CY
9330068,9330068.00,Vancouver,Vancouver,CY
9330148,9330148.00,Richmond,Richmond,CY
9330103,9330103.00,North Vancouver City,North Vancouver,CY
9330007.02,9330007.02,Vancouver,Vancouver,CY
9330147.09,9330147.09,Richmond,Richmond,CY
9330184.11,9330184.11,Surrey,Surrey,CY
9330024,9330024.00,Vancouver,Vancouver,CY
9330285.01,9330285.01,Coquitlam,Coquitlam,CY
9330187.12,9330187.12,Surrey,Surrey,CY
9330053.01,9330053.01,Vancouver,Vancouver,CY
9330033.02,9330033.02,Vancouver,Vancouver,CY
9330051.02,9330051.02,Vancouver,Vancouver,CY
9330037.01,9330037.01,Vancouver,Vancouver,CY
9330208,9330208.00,New Westminster,New Westminster,CY
9330043.01,9330043.01,Vancouver,Vancouver,CY
9330111.01,9330111.01,North Vancovuer District,North Vancouver,DM
9330101.03,9330101.03,North Vancouver City,North Vancouver,CY
9330001.01,9330001.01,Vancouver,Vancouver,CY
9330243.01,9330243.01,Burnaby,Burnaby,CY
