Order,Address,Street,Store Name
1,2995,Commerical,BC Compassion Club 
2,2908,Commercial,BC Pain Society Management 
3,2894,E. Broadway,BC Pain Society Management 
4,2179,W. 4th Av,Buddha Barn 
5,2267,Kingsway,Budzilla 
6,#102 - 1675,Hornby,Canada Bliss Herbal Society 
7,892,Commercial Diversion N,CanMed Wellness 
8,2347,E. Hastings,Canna Clinic 
9,1812,W. 4th Av,Canna Clinic 
10,2223,Commercial,Canna Clinic                          1 of 4 locations 
11,1132,Granville,Canna Clinic Medicinal Cannabis Dispensary 
12,8546,Granville,Canna Farmacy 
13,1259,Kingsway,Canna Farmacy 
14,2935,W. 4th Av,Canna Farmacy 
15,102-736,E. Broadway,Canna Farmacy 
16,3133,W. Broadway,Chronic Hub 
17,2943,Kingsway,Compassion Medical Cannabis Society 
18,2233,Granville,Dispensary 2233 
19,637,E. Hastings,Eden Medicinal Society 
20,161,E. Pender,Eden Medicinal Society 
21,138,E. Pender,Eden Medicinal Society 
22,8484,Granville,Eden Medicinal Society 
23,1674,Davie,Eden Medicinal Society 
24,2303,E Hastings,Eggs Canna 
25,8425,Granville,Erbachay 
26,101 - 1833,Anderson,Granville Island Cannabix Dispensary 
27,Was 2127 now 2145,Kingsway,Green Cross Society of BC 
28,4296,Main,Green Cross Society of BC 
29,1707,Robson,Green Panda Health 
30,1057,Seymour,Green Room Society 
31,202 - 1011,Commercial,Health Lifestyle 
32,1092,Kingsway,Health Lifestyle Marihuana ID Card Centre 
33,6128,Fraser,iMedikate 
34,3611,W. Broadway,Jim's Green Option Society 
35,2487,Kingsway,Kana Mart 
36,925,Davie,Kandu Canna Med's 
37,4510,Victoria,Karuna Medicinals 
38,4866,Rupert,Lime Life 
39,45,W. Broadway,Limelife Café 
40,1167,Granville,Limelife Café 
41,326,E. Hastings,Limelife Society 
42,4879,Main,Limelife Society 
43,870,E. Broadway,Mary Jane's 
44,1745,Nanaimo,Med Ex 
45,1290,E. 12th Av,Med EX 
46,4170,Fraser,Med Pot now 
47,6453,Victoria,MedEx 
48,217,E. 50th Av,MedEx 
49,1182,Thurlow,Medical Cannabis Dispensary 
50,5932,Fraser,Pacific Leaf Society 
51,2137,Commercial,Pain Management Society 
52,151,E. Hastings,Real Compassion Society Lee VanSteinberg  778-327-9310 
53,231,Abbott,Red Med 
54,#100 - 68,E. 2nd Av,Sea to Sky Alternative Healing Society 
55,6636,Fraser,Sea to Sky Alternative Healing Society 
56,206-181,Keefer Place,Serenity Natural Health Society 
57,101 - 1304 ,Seymour,Seymour Wellness Society 
58,258,W. Broadway ,Sunrise Wellness Foundation 
59,2918,W. 4th Av,The Buddha's Sister Med Society 
60,2570,Granville,The Green Rhino 
61,1775,Haro,The Healing Club Medicinal Society 
62,21,W. Broadway,The Healing Tree 
63,529,E. Hastings,The Healing Tree Medical Cannabis 
64,3245,W. Broadway,True Natural Healing society 
65,3535,Kingsway,Urban Earth Med
66,1299,Kingsway,Vancity Medicinals 
67,1181,Granville,Vancity Weed 
68,63,Kingsway,Vancity Weed 
69,1176,Thurlow,Vancouver Pain Management Society 
70,#421 - 1080,Mainland,Vancouver Prime Therapeutic Cannabis Society 
71,872,E. Hastings,Vancouver Seed Bank 
72,1108,Richards,"Weed, Glass and Gifts Ltd "
73,211,E. 16th Av,Weeds 
74,2580,Kingsway,Weeds 
75,1353,E. 41st Av,Weeds 
76,3450,E. Hastings,Weeds 
77,1193,Main,Weeds 
78,5038,Victoria Dr,Weeds 
79,6657,Main,Weeds Glass & Gifts & Vapour Lounge 
80,104-1807,Burrard,Weeds Glass and Gifts 
81,2916,W. 4th Av,Weeds Glass and Gifts 
82,3474,W. Broadway,Weeds Social Club 
83,1232,Burrard,Weeds Vancouver 
84,2931,Cambie,Westcoast Medicann
