DateTime,Occurred_Time_From,Description,district,100 Block,Lat,Long
2001-01-08 0:00,0,THEFT BICYCLE UNDER $5000,4,600 W 7TH AVE,49.2650084,-123.1175568
2001-01-08 0:00,0,THEFT BICYCLE UNDER $5000,4,700 W 7TH AVE,49.2650395,-123.1199121
2001-01-08 12:00,1200,THEFT BICYCLE UNDER $5000,4,3500 MAIN ST,49.2538883,-123.1008911
2001-04-08 18:00,1800,THEFT BICYCLE UNDER $5000,4,3200 W 3RD AVE,49.2693585,-123.1758216
2001-06-08 8:00,800,THEFT BICYCLE UNDER $5000,1,1000 W GEORGIA ST,49.2844808,-123.1212127
2001-06-08 22:30,2230,THEFT BICYCLE UNDER $5000,4,3300 W 2ND AVE,49.2702662,-123.1777122
2001-07-08 12:00,1200,THEFT BICYCLE UNDER $5000,4,7200 BLENHEIM ST,49.2206499,-123.1789266
2001-08-08 9:00,900,THEFT BICYCLE UNDER $5000,4,1300 CARTWRIGHT ST,49.2697945,-123.1338688
2001-08-08 12:00,1200,THEFT BICYCLE UNDER $5000,1,1100 BURNABY ST,49.2797459,-123.1323765
2001-08-08 18:30,1830,THEFT BICYCLE UNDER $5000,4,2800 W 6TH AVE,49.2666396,-123.1685211
2001-09-08 12:00,1200,THEFT BICYCLE UNDER $5000,4,2200 YORK AVE,49.2715712,-123.1552345
2001-10-08 8:00,800,THEFT BICYCLE UNDER $5000,3,3400 KNIGHT ST,49.2539344,-123.0758846
2001-10-08 9:00,900,THEFT BICYCLE UNDER $5000,4,3100 W 4TH AVE,49.2684324,-123.1739047
2001-10-08 10:00,1000,THEFT BICYCLE UNDER $5000,4,3100 W 4TH AVE,49.2684324,-123.1739047
2001-10-08 16:45,1645,THEFT BICYCLE UNDER $5000,4,0 W 10TH AVE,49.2620734,-123.1051292
2001-10-08 17:30,1730,THEFT BICYCLE UNDER $5000,3,500 E 15TH AVE,49.2573128,-123.0937463
2001-10-08 20:30,2030,THEFT BICYCLE UNDER $5000,1,1200 HOMER ST,49.27519,-123.1233344
2001-11-08 12:00,1200,THEFT BICYCLE UNDER $5000,1,BURRARD ST / ROBSON ST,49.2832949,-123.1228016
2001-11-08 14:00,1400,THEFT BICYCLE UNDER $5000,2,700 TEMPLETON DR,49.2782966,-123.0599481
2001-12-08 1:30,130,THEFT BICYCLE UNDER $5000,4,3200 W 6TH AVE,49.2667609,-123.1759281
2001-12-08 15:00,1500,THEFT BICYCLE UNDER $5000,1,1000 BURNABY ST,49.27845,-123.130358
2001-12-08 19:00,1900,THEFT BICYCLE UNDER $5000,2,100 REGIMENT SQ,49.2785605,-123.1100619
2001-12-08 21:30,2130,THEFT BICYCLE UNDER $5000,3,2700 COOPERATIVE WAY,49.2573932,-123.0494222
1-14-08 3:48 PM,1548,THEFT BICYCLE UNDER $5000,4,1600 W 1ST AVE,49.2705834,-123.1413772
1-14-08 11:00 PM,2300,THEFT BICYCLE UNDER $5000,4,1100 W 6TH AVE,49.2660256,-123.1290105
1-15-08 12:00 AM,0,THEFT BICYCLE UNDER $5000,2,3600 E PENDER ST,49.2802014,-123.0258325
1-15-08 9:00 AM,900,THEFT BICYCLE UNDER $5000,4,2600 LARCH ST,49.263027,-123.1624113
1-15-08 12:00 PM,1200,THEFT BICYCLE UNDER $5000,4,400 MOBERLY RD,49.2678017,-123.1175074
1-15-08 2:30 PM,1430,THEFT BICYCLE UNDER $5000,3,1600 E 12TH AVE,49.2595677,-123.0715384
1-15-08 3:30 PM,1530,THEFT BICYCLE UNDER $5000,4,1400 ANDERSON ST,49.2699112,-123.1370577
1-17-08 1:00 AM,100,THEFT BICYCLE UNDER $5000,2,COMMERCIAL DR / GRANT ST,49.2712863,-123.0695676
1-18-08 12:00 AM,0,THEFT BICYCLE UNDER $5000,1,1300 HOWE ST,49.2768075,-123.1287109
1-20-08 10:50 AM,1050,THEFT BICYCLE UNDER $5000,4,2900 W BROADWAY AVE,49.2641136,-123.1701373
1-20-08 11:00 AM,1100,THEFT BICYCLE UNDER $5000,2,E CORDOVA ST / GORE AVE,49.2822469,-123.0976076
1-21-08 8:30 AM,830,THEFT BICYCLE UNDER $5000,4,1600 W BROADWAY AVE,49.2636326,-123.1411711
1-21-08 5:30 PM,1730,THEFT BICYCLE UNDER $5000,4,W BROADWAY AVE / TRAFALGAR ST,49.2640294,-123.1646488
1-22-08 7:30 AM,730,THEFT BICYCLE UNDER $5000,1,300 DUNSMUIR ST,49.281063,-123.1125773
1-22-08 10:24 PM,2224,THEFT BICYCLE UNDER $5000,2,400 CAMBIE ST,49.282481,-123.1095694
1-24-08 7:00 PM,1900,THEFT BICYCLE UNDER $5000,1,500 W HASTINGS ST,49.2840565,-123.1119757
1-28-08 12:00 AM,0,THEFT BICYCLE UNDER $5000,1,1100 PACIFIC ST,49.2782267,-123.1343411
1-28-08 1:30 PM,1330,THEFT BICYCLE UNDER $5000,2,CARRALL ST / E PENDER ST,49.2805098,-123.1043616
1-28-08 2:30 PM,1430,THEFT BICYCLE UNDER $5000,1,SEYMOUR ST / W GEORGIA ST,49.2818558,-123.1171355
1-28-08 6:00 PM,1800,THEFT BICYCLE UNDER $5000,4,1900 W BROADWAY AVE,49.263605,-123.1483428
1-31-08 1:00 AM,100,THEFT BICYCLE UNDER $5000,1,1000 GRANVILLE ST,49.2791968,-123.1230714
2002-01-08 1:00,100,THEFT BICYCLE UNDER $5000,1,900 RICHARDS ST,49.278945,-123.119488
2002-01-08 1:00,100,THEFT BICYCLE UNDER $5000,3,2200 PRINCE EDWARD ST,49.2654246,-123.0957309
2002-01-08 6:45,645,THEFT BICYCLE UNDER $5000,4,900 W 10TH AVE,49.2624046,-123.1242461
2002-01-08 13:44,1344,THEFT BICYCLE UNDER $5000,3,1300 E 8TH AVE,49.2633157,-123.0776868
2002-01-08 17:00,1700,THEFT BICYCLE UNDER $5000,2,GORE AVE / E HASTINGS ST,49.2812985,-123.0974752
2002-02-08 15:30,1530,THEFT BICYCLE UNDER $5000,2,100 W CORDOVA ST,49.2829625,-123.1068814
2002-04-08 12:00,1200,THEFT BICYCLE UNDER $5000,3,3100 KNIGHT ST,49.2564591,-123.0757919
2002-05-08 9:00,900,THEFT BICYCLE UNDER $5000,4,900 W 7TH AVE,49.2651242,-123.1243445
2002-06-08 8:00,800,THEFT BICYCLE UNDER $5000,4,3000 ARBUTUS ST,49.2591561,-123.1530923
2002-06-08 20:08,2008,THEFT BICYCLE UNDER $5000,3,3100 MAIN ST,49.2591834,-123.1011078
2002-10-08 13:00,1300,THEFT BICYCLE UNDER $5000,4,1600 DURANLEAU ST,49.2717947,-123.1359892
2002-12-08 12:00,1200,THEFT BICYCLE UNDER $5000,4,CROWN ST / W 16TH AVE,49.2581429,-123.19354
2002-12-08 18:00,1800,THEFT BICYCLE UNDER $5000,1,500 HORNBY ST,49.2856055,-123.1172741
2-13-08 9:00 AM,900,THEFT BICYCLE UNDER $5000,3,500 E 7TH AVE,49.2643487,-123.0928633
