CONTRIBUTOR_NAME,DATE,AMOUNT,CLASS,PRINCIPAL_OFFICER_1,PRINCIPAL_OFFICER_2,PARTY,CONTRIBUTION_TYPE,EVENT_DATE
DR ANDREW N. HOKHOLD INC,2005-05-11,500,2,,,B.C. PATRIOT PARTY,,
DR ANDREW N. HOKHOLD INC,2005-08-12,2300,2,,,B.C. PATRIOT PARTY,,
DR ANDREW N. HOKHOLD INC,2005-12-31,4901,2,,,B.C. PATRIOT PARTY,,
PANDHER-GHUMAN ENTERPRISES,2006-04-25,500,2,,,BC NDP,,
LAFARGE CANADA INC,2008-05-08,2888,2,,,BC UNITED,,
LAFARGE CANADA INC,2008-07-15,1200,2,,,BC UNITED,,
INTERNATIONAL WAYSIDE GOLD MINES LTD,2008-10-21,700,2,,,BC UNITED,,
EMRI CAPITAL CORP,2008-05-27,2000,2,,,BC UNITED,,
LIQUOR STORES GP INC,2008-04-21,3500,2,,,BC UNITED,,
LIQUOR STORES GP INC,2008-07-30,1000,2,,,BC UNITED,,
LIQUOR STORES GP INC,2008-05-08,3488,2,,,BC UNITED,,
LIQUOR STORES GP INC,2008-10-29,1200,2,,,BC UNITED,,
TERASEN GAS INC,2008-07-18,1000,2,RUTH SULENTICH,,BC UNITED,,
TALISMAN ENERGY INC,2008-06-17,1400,2,SHARON MCCARTNEY,REG MANHAS,BC UNITED,,
EFG WEALTH MANAGEMENT LTD,2008-07-15,700,2,,,BC UNITED,,
RIVER CITY WOODWORKS INC,2008-07-15,200,2,,,BC UNITED,,
RIVER CITY WOODWORKS INC,2008-12-18,300,2,,,BC UNITED,,
PALLISER PRINTING & PUBLISHING LTD,2008-07-15,200,2,,,BC UNITED,,
PALLISER PRINTING & PUBLISHING LTD,2008-07-15,100,2,,,BC UNITED,,
MARCER RANCHING LTD,2008-07-15,300,2,,,BC UNITED,,
MARCER RANCHING LTD,2008-07-15,200,2,,,BC UNITED,,
TYS HOLDINGS LTD,2008-06-17,700,2,,,BC UNITED,,
COMPTON FUNDRAISING CONSULTANTS CANADA LTD,2008-06-17,350,2,,,BC UNITED,,
MILL & TIMBER PRODUCTS LTD,2008-04-11,390,2,DAVID GRAY,,BC UNITED,,
MILL & TIMBER PRODUCTS LTD,2008-04-11,300,2,DAVID GRAY,,BC UNITED,,
MILL & TIMBER PRODUCTS LTD,2008-10-29,450,2,DAVID GRAY,,BC UNITED,,
FLAVELLE SAWMILL COMPANY LTD,2008-12-08,450,2,DAVID GRAY,,BC UNITED,,
BC LIONS FOOTBALL CLUB INC,2008-05-27,3500,2,DAVID BRALEY,,BC UNITED,,
BC LIONS FOOTBALL CLUB INC,2008-06-09,3488,2,DAVID BRALEY,,BC UNITED,,
BC LIONS FOOTBALL CLUB INC,2008-08-18,750,2,DAVID BRALEY,,BC UNITED,,
BC LIONS FOOTBALL CLUB INC,2008-10-29,300,2,DAVID BRALEY,,BC UNITED,,
HAMILTON DUNCAN ARMSTRONG & STEWART LAW CORP,2008-05-27,1200,2,SCOTT NICOLL,TREVOR C. ARMSTRONG,BC UNITED,,
HAMILTON DUNCAN ARMSTRONG & STEWART LAW CORP,2008-08-18,500,2,SCOTT NICOLL,TREVOR C. ARMSTRONG,BC UNITED,,
WINMARK CAPITAL INC,2008-08-18,1500,2,,,BC UNITED,,
OCEAN PARK ENTERPRISES LTD,2008-05-27,2000,2,,,BC UNITED,,
OCEAN PARK ENTERPRISES LTD,2008-05-27,2000,2,,,BC UNITED,,
HUGH & MCKINNON REALTY LTD,2008-08-18,1500,2,,,BC UNITED,,
BAY REALTY LTD,2008-08-18,250,2,,,BC UNITED,,
BAY REALTY LTD,2008-08-18,250,2,,,BC UNITED,,
BAY REALTY LTD,2008-08-18,250,2,,,BC UNITED,,
MILLENNIUM SERVICES LTD,2008-08-18,500,2,PETER HODSON,,BC UNITED,,
B T Y GROUP CORP,2008-05-08,2888,2,,,BC UNITED,,
TRIPLE M PRESS INC DBA MINUTEMAN PRESS,2008-05-27,350,2,,,BC UNITED,,
CELLCITY COMMUNICATIONS INC,2008-10-03,880,2,,,BC UNITED,,
SEA LEVEL COMMUNICATIONS LTD,2008-05-27,700,2,,,BC UNITED,,
I G IMAGE GROUP INC,2008-07-15,350,2,LAURA HANSEN,,BC UNITED,,
I G IMAGE GROUP INC,2008-03-28,200,2,LAURA HANSEN,,BC UNITED,,
I G IMAGE GROUP INC,2008-10-03,1000,2,LAURA HANSEN,,BC UNITED,,
SHATO HOLDINGS LTD,2008-02-13,2500,2,RON TOIGO,LARRY BELL,BC UNITED,,
SHATO HOLDINGS LTD,2008-09-19,4000,2,RON TOIGO,LARRY BELL,BC UNITED,,
SHATO HOLDINGS LTD,2008-09-19,4000,2,RON TOIGO,LARRY BELL,BC UNITED,,
TONY LAU INSURANCE AGENCIES LTD,2008-03-28,349,2,,,BC UNITED,,
TONY LAU INSURANCE AGENCIES LTD,2008-10-29,150,2,,,BC UNITED,,
ORR DEVELOPMENT (1980) CORP,2008-04-30,3500,2,BOB ORR,,BC UNITED,,
ORR DEVELOPMENT (1980) CORP,2008-03-28,400,2,BOB ORR,,BC UNITED,,
RAINMAKER ENTERTAINMENT GROUP LTD,2008-05-08,3500,2,,,BC UNITED,,
W T LEUNG ARCHITECTS INC,2008-02-13,2500,2,WING LEUNG,P  LEUNG,BC UNITED,,
MOODIE CONSULTANTS LTD,2008-04-21,3500,2,,,BC UNITED,,
TELUS,2008-10-21,500,2,,,BC UNITED,,
TELUS,2008-09-30,40,2,,,BC UNITED,,
POLYGON HOMES LTD,2008-01-16,2250,2,MICHAEL AUDAIN,NEIL CHRYSTAL,BC UNITED,,
POLYGON HOMES LTD,2008-04-11,7000,2,MICHAEL AUDAIN,NEIL CHRYSTAL,BC UNITED,,
POLYGON HOMES LTD,2008-12-08,1500,2,MICHAEL AUDAIN,NEIL CHRYSTAL,BC UNITED,,
BELKORP INDUSTRIES INC,2008-04-30,3500,2,A STUART BELKIN,,BC UNITED,,
ANSON REALTY LTD,2008-05-08,1250,2,STEPHEN KWOK,,BC UNITED,,
INSIGHT FILM & VIDEO PRODUCTIONS LTD,2008-05-27,1875,2,KIRK SHAW,,BC UNITED,,
TELUS,2008-02-08,300,2,KIM LOGAN,,BC UNITED,,
BELL,2008-09-04,3000,2,PAUL HEALEY,,BC UNITED,,
BELL,2008-07-04,3888,2,PAUL HEALEY,,BC UNITED,,
KINIP CONSTRUCTION LTD,2008-10-03,880,2,,,BC UNITED,,
NARAMATA BENCHLAND PROPERTIES LTD,2008-07-11,250,2,,,BC UNITED,,
EARLS RESTAURANT LTD PENTICTON,2008-07-11,1000,2,,,BC UNITED,,
STRUCTURLAM PRODUCTS LTD,2008-03-28,5000,2,,,BC UNITED,,
BRYMARK INSTALLATIONS GROUP INC,2008-07-28,2000,2,,,BC UNITED,,
ALPHA MECHANICAL CONTRACTING LTD,2008-04-11,500,2,GERRY WONG,,BC UNITED,,
ALPHA MECHANICAL CONTRACTING LTD,2008-07-28,2000,2,GERRY WONG,,BC UNITED,,
THE BOATHOUSE RESTAURANTS OF CANADA INC,2008-11-20,1000,2,,,BC UNITED,,
TOP OF THE HILL GROCERY & GAS BAR LTD,2008-12-18,300,2,SCOTT MACDONALD,,BC UNITED,,
DAVIC POWELL LAKE MARINA 1983 LTD,2008-05-08,601.1,2,,,BC UNITED,,
DAVIC POWELL LAKE MARINA 1983 LTD,2008-12-18,300,2,,,BC UNITED,,
PACIFIC BIOENERGY CORP,2008-01-16,3750,2,,,BC UNITED,,
PACIFIC BIOENERGY CORP,2008-02-14,550,2,,,BC UNITED,,
EAST FRASER FIBER CO LTD,2008-04-11,250,2,RICHARD GLAZIER,PATRICH GLAZIER,BC UNITED,,
FREIGHTLINER PRINCE GEORGE DIV OF INLAND DIESEL LTD,2008-02-14,350,2,,,BC UNITED,,
FAMILY FAST FOODS LTD (WENDY'S),2008-02-14,320,2,,,BC UNITED,,
FAMILY FAST FOODS LTD (WENDY'S),2008-02-14,320,2,,,BC UNITED,,
WESTCANA ELECTRIC INC,2008-04-11,90,2,,,BC UNITED,,
WESTCANA ELECTRIC INC,2008-02-14,600,2,,,BC UNITED,,
VIKING CONSTRUCTION LTD,2008-07-28,1000,2,,,BC UNITED,,
ABERDEEN HELICOPTERS LTD,2008-02-14,400,2,PETER MCGILL,,BC UNITED,,
CARRIER LUMBER LTD,2008-02-14,1000,2,BILL KORDYBAN JR,TERRY KUZMA,BC UNITED,,
HANYIN EDUCATION CONSULTING INC,2008-06-17,350,2,,,BC UNITED,,
SODAGAR & COMPANY LAW CORP,2008-06-17,350,2,,,BC UNITED,,
BORDER FREE DISTRIBUTION INC,2008-06-17,700,2,,,BC UNITED,,
SKYPOWER CANADA HOLDING LTD,2008-10-29,300,2,DORIS LAPOINTE,,BC UNITED,,
DAVID GOLDSMITH INC,2008-02-08,300,2,,,BC UNITED,,
ELK VALLEY COAL CORP,2008-05-27,3500,2,RON MILLOS,,BC UNITED,,
ELK VALLEY COAL CORP,2008-07-30,700,2,RON MILLOS,,BC UNITED,,
ELK VALLEY COAL CORP,2008-10-29,4000,2,RON MILLOS,,BC UNITED,,
ELK VALLEY COAL CORP,2008-10-21,3500,2,RON MILLOS,,BC UNITED,,
GENERAL ELECTRIC CANADA INC,2008-10-21,3500,2,ROBERT GILLESPIE,MICHAEL N DAVIES,BC UNITED,,
CANADIAN HYDRO DEVELOPERS INC,2008-10-29,1200,2,ANN HUGHES,JOHD D. KEATING,BC UNITED,,
FINNING LTD,2008-03-28,1200,2,,,BC UNITED,,
FINNING LTD,2008-10-21,3500,2,,,BC UNITED,,
TRANSCANADA CORP,2008-07-15,3000,2,,,BC UNITED,,
TRANSCANADA CORP,2008-09-19,200,2,,,BC UNITED,,
CH2M HILL CANADA LTD,2008-04-11,300,2,,,BC UNITED,,
TROW ASSOCIATES INC,2008-04-11,300,2,,,BC UNITED,,
S A P CANADA INC,2008-08-18,3000,2,,,BC UNITED,,
CANADIAN PACIFIC RAILWAY LTD,2008-04-30,2000,2,JOHN LYNCH,PAUL CLARK,BC UNITED,,
BREAKWATER RESOURCES LTD,2008-10-21,1400,2,,,BC UNITED,,
ASTRAZENECA CANADA INC,2008-10-29,300,2,GEORGE SAMOIL,,BC UNITED,,
ASTRAZENECA CANADA INC,2008-12-08,300,2,GEORGE SAMOIL,,BC UNITED,,
SUN PEAKS RESORT CORP,2008-03-28,1200,2,DARCY ALEXANDER,,BC UNITED,,
AMEC AMERICAS LTD,2008-10-29,4000,2,,,BC UNITED,,
AMEC AMERICAS LTD,2008-10-21,3500,2,,,BC UNITED,,
NEPTUNE BULK TERMINALS (CANADA) LTD,2008-10-03,3500,2,GLENN TAYLOR,J.T. WILLCOX,BC UNITED,,
NEPTUNE BULK TERMINALS (CANADA) LTD,2008-11-17,3500,2,GLENN TAYLOR,J.T. WILLCOX,BC UNITED,,
NEPTUNE BULK TERMINALS (CANADA) LTD,2008-12-17,1500,2,GLENN TAYLOR,J.T. WILLCOX,BC UNITED,,
PFIZER CANADA INC,2008-02-22,600,2,BOB DAWSON,,BC UNITED,,
PFIZER CANADA INC,2008-03-28,160,2,BOB DAWSON,,BC UNITED,,
PFIZER CANADA INC,2008-03-28,2000,2,BOB DAWSON,,BC UNITED,,
PFIZER CANADA INC,2008-05-08,250,2,BOB DAWSON,,BC UNITED,,
PFIZER CANADA INC,2008-09-08,3000,2,BOB DAWSON,,BC UNITED,,
ELI LILLY CANADA INC,2008-06-17,350,2,,,BC UNITED,,
ELI LILLY CANADA INC,2008-10-29,100,2,,,BC UNITED,,
ELI LILLY CANADA INC,2008-09-08,500,2,,,BC UNITED,,
ELI LILLY CANADA INC,2008-09-04,500,2,,,BC UNITED,,
TERRADOR INVESTMENTS LTD,2008-10-29,1200,2,STAN SILVERMAN,,BC UNITED,,
CIBC,2008-04-30,520,2,ALLAN C WALLACE,,BC UNITED,,
CIBC,2008-04-11,2000,2,ALLAN C WALLACE,,BC UNITED,,
CIBC,2008-04-30,7000,2,ALLAN C WALLACE,,BC UNITED,,
CIBC,2008-09-04,4000,2,ALLAN C WALLACE,,BC UNITED,,
GLAXOSMITHKLINE INC,2008-04-30,200,2,JOHN KELLY,,BC UNITED,,
GLAXOSMITHKLINE INC,2008-06-17,700,2,JOHN KELLY,,BC UNITED,,
GLAXOSMITHKLINE INC,2008-05-08,2888,2,JOHN KELLY,,BC UNITED,,
GLAXOSMITHKLINE INC,2008-10-29,1500,2,JOHN KELLY,,BC UNITED,,
GLAXOSMITHKLINE INC,2008-08-18,750,2,JOHN KELLY,,BC UNITED,,
GLAXOSMITHKLINE INC,2008-10-21,500,2,JOHN KELLY,,BC UNITED,,
GLAXOSMITHKLINE INC,2008-10-21,100,2,JOHN KELLY,,BC UNITED,,
THE BEER STORE BREWERS RETAIL INC,2008-04-30,650,2,,,BC UNITED,,
THE BEER STORE BREWERS RETAIL INC,2008-08-18,400,2,,,BC UNITED,,
THE BEER STORE BREWERS RETAIL INC,2008-10-29,3567.33,2,,,BC UNITED,,
THE BEER STORE BREWERS RETAIL INC,2008-10-29,750,2,,,BC UNITED,,
PFIZER CANADA INC,2008-07-15,350,2,,,BC UNITED,,
R&D PHARMACEUTICALS LTD,2008-04-30,700,2,,,BC UNITED,,
MERCK FROSST CANADA LTD,2008-05-08,400,2,,,BC UNITED,,
MERCK FROSST CANADA LTD,2008-06-09,1050,2,,,BC UNITED,,
MERCK FROSST CANADA LTD,2008-06-25,125,2,,,BC UNITED,,
MERCK FROSST CANADA LTD,2008-12-03,350,2,,,BC UNITED,,
MERCK FROSST CANADA LTD,2008-10-29,600,2,,,BC UNITED,,
MERCK FROSST CANADA LTD,2008-06-25,300,2,,,BC UNITED,,
MERCK FROSST CANADA LTD,2008-08-18,500,2,,,BC UNITED,,
BURNCO ROCK PRODUCTS LTD,2008-06-09,25000,2,,,BC UNITED,,
RBC ROYAL BANK,2008-05-27,3500,2,,,BC UNITED,,
630074 BC LTD,2008-04-11,1000,2,KYU TAE KIM,SOLE PROPRIETOR,BC UNITED,,
COPPER FOX METALS INC,2008-09-26,3500,2,,,BC UNITED,,
ENCANA CORP,2008-03-28,4000,2,,,BC UNITED,,
ENCANA CORP,2008-04-11,3500,2,,,BC UNITED,,
ENCANA CORP,2008-10-21,3500,2,,,BC UNITED,,
TD BANK FINANCIAL GROUP,2008-04-30,7000,2,,,BC UNITED,,
JANSSEN-ORTHO INC,2008-05-27,1750,2,KAREN NETHERTON,,BC UNITED,,
JANSSEN-ORTHO INC,2008-06-09,2888,2,KAREN NETHERTON,,BC UNITED,,
JANSSEN-ORTHO INC,2008-09-04,4000,2,KAREN NETHERTON,,BC UNITED,,
TRICO HOMES LTD,2008-07-15,300,2,JACOB KUIKEN,,BC UNITED,,
TRICO HOMES LTD,2008-07-15,1500,2,JACOB KUIKEN,,BC UNITED,,
ATLA ENERGY CORP,2008-07-15,1500,2,,,BC UNITED,,
G4 RESOURCES INC,2008-08-18,750,2,,,BC UNITED,,
PETRON HOLDINGS INC,2008-08-18,1500,2,,,BC UNITED,,
OTTERBURN VENTURES INC,2008-08-18,750,2,,,BC UNITED,,
INTECH ENVIRONMENTAL CANADA CORP,2008-08-18,350,2,,,BC UNITED,,
WEST SHORE ENVIRONMENTAL SERVICES INC,2008-08-18,3000,2,,,BC UNITED,,
WEST SHORE ENVIRONMENTAL SERVICES INC,2008-10-29,750,2,,,BC UNITED,,
TOUCH O COUNTRY LOG HOMES LTD,2008-08-18,1500,2,,,BC UNITED,,
TYSACH HIGGINS INVESTMENTS LTD,2008-08-18,500,2,,,BC UNITED,,
SOUTHERN EDGE DEVELOPMENTS INC,2008-07-15,400,2,,,BC UNITED,,
SOUTHERN EDGE DEVELOPMENTS INC,2008-12-18,300,2,,,BC UNITED,,
HILL & KNOWLTON STRATEGIES,2008-10-29,1200,2,ADAM JOHNSON,,BC UNITED,,
HILL & KNOWLTON STRATEGIES,2008-10-29,900,2,ADAM JOHNSON,,BC UNITED,,
COLLIERS MACAULAY NICOLLS INC,2008-04-21,3500,2,JOHN MCLERNON,ERIN GIBAULT,BC UNITED,,
COLLIERS MACAULAY NICOLLS INC,2008-05-08,2888,2,JOHN MCLERNON,ERIN GIBAULT,BC UNITED,,
COLLIERS MACAULAY NICOLLS INC,2008-09-08,4000,2,JOHN MCLERNON,ERIN GIBAULT,BC UNITED,,
COLLIERS MACAULAY NICOLLS INC,2008-09-19,1000,2,JOHN MCLERNON,ERIN GIBAULT,BC UNITED,,
COLLIERS MACAULAY NICOLLS INC,2008-10-29,150,2,JOHN MCLERNON,ERIN GIBAULT,BC UNITED,,
WEYERHAEUSER COMPANY LTD,2008-09-19,4000,2,DAVE LARSEN,PENNY WILLETT,BC UNITED,,
WEYERHAEUSER COMPANY LTD,2008-09-19,4000,2,DAVE LARSEN,PENNY WILLETT,BC UNITED,,
CIBC,2008-03-28,500,2,,,BC UNITED,,
RENNIE MARKETING SYSTEMS LTD,2008-09-19,20000,2,BOB RENNIE,,BC UNITED,,
RENNIE MARKETING SYSTEMS LTD,2008-10-29,2400,2,BOB RENNIE,,BC UNITED,,
HIGHLAND VALLEY COPPER,2008-03-28,1400,2,WOLFE NICKEL,RON SIMKUS,BC UNITED,,
SEA BREEZE POWER CORP,2008-02-08,600,2,SAM KENNY,,BC UNITED,,
SEA BREEZE POWER CORP,2008-05-08,250,2,SAM KENNY,,BC UNITED,,
SEA BREEZE POWER CORP,2008-10-29,1200,2,SAM KENNY,,BC UNITED,,
WOODBRIDGE ASSOCIATES INC,2008-06-25,1000,2,,,BC UNITED,,
PLUTONIC POWER CORP,2008-02-22,2000,2,DEBORAH FULCHER,DAVE CYR,BC UNITED,,
PLUTONIC POWER CORP,2008-07-15,3000,2,DEBORAH FULCHER,DAVE CYR,BC UNITED,,
PLUTONIC POWER CORP,2008-10-21,270,2,DEBORAH FULCHER,DAVE CYR,BC UNITED,,
MEAGER CREEK DEVELOPMENT CORP,2008-02-08,300,2,,,BC UNITED,,
MEAGER CREEK DEVELOPMENT CORP,2008-10-03,190,2,,,BC UNITED,,
PARK LANE HOMES LTD,2008-01-16,2250,2,PEETER WESIK,,BC UNITED,,
PARK LANE HOMES LTD,2008-01-23,1200,2,PEETER WESIK,,BC UNITED,,
PARK LANE HOMES LTD,2008-04-21,600,2,PEETER WESIK,,BC UNITED,,
PARK LANE HOMES LTD,2008-06-17,3500,2,PEETER WESIK,,BC UNITED,,
KNIGHT PIESOLD LTD,2008-04-11,300,2,,,BC UNITED,,
LEDCOR CMI LTD,2008-01-23,3000,2,,,BC UNITED,,
LEDCOR CMI LTD,2008-10-29,600,2,,,BC UNITED,,
AMBULATORY SURGICAL CENTRES CANADA CORP,2008-06-09,2100,2,,,BC UNITED,,
