Route,Route Description
3,003 MAIN/DOWNTOWN
4,004 PHIBBS EXCH/POWELL/DOWNTOWN/UBC
5,005 ROBSON/DOWNTOWN
6,006 DAVIE/DOWNTOWN
7,007 NANAIMO STN/DUNBAR
8,008 FRASER/DOWNTOWN
9,009 BDRY/BWAY STN/GRAN/ALMA/UBC
10,010 HASTINGS/DOWNTOWN/GRAN
15,015 CAMBIE/DOWNTOWN
16,016 29TH AVENUE STN/ARBUTUS
17,017 OAK/DOWNTOWN/UBC
19,019 METROTOWN STN/STANLEY PARK
20,020 VICTORIA/DOWNTOWN
22,022 KNIGHT/MACDONALD
25,025 BRENTWOOD STN/UBC
26,026 JOYCE STN/29TH AVENUE STN
27,027 KOOTENAY LOOP/JOYCE STN
28,028 CAP UNIVERSIT/PHIBBS EXCH/JOYCE STN
29,029 ELLIOTT/29TH AVENUE STN
33,033 29 AVE STN/ UBC
41,041 JOYCE STN/CROWN/UBC
49,049 METROTOWN STN/DUNBAR LOOP/UBC
50,050 WATERFRONT STN/FALSE CREEK SOUTH
84,084 UBC/VCC STATION
97,097 COQUITLAM STN/LOUGHEED STN (B-LINE)
99,099 BROADWAY STN/UBC (B-LINE)
100,100 22ND ST STN/MARPOLE LOOP
101,101 LOUGHEED STN/22ND ST STN
104,104 22ND ST STN/ANNACIS ISLAND
106,106 NEW WESTMINSTER STN/METROTOWN STN
110,110 LOUGHEED STN/METROTOWN STN
112,112 EDMONDS STN/LOUGHEED STN
116,116 EDMONDS STN/METROTOWN STN
123,123 NEW WEST STN/BRENTWOOD STN
129,129 METROTOWN STN/EDMONDS STN
130,130 METROTOWN/HASTINGS/KOOTENAY/CAP U
134,134 LAKE CITY STN/BRENTWOOD STN
135,135 SFU/BURRARD STN
136,136 LOUGHEED STN/BRENTWOOD STN
144,144 SFU/METROTOWN STN
145,145 SFU/PRODUCTION STN
151,151 COQUITLAM STN/LOUGHEED STN
152,152 COQUITLAM STN/LOUGHEED STN
153,153 COQUITLAM REC CTR/BRAID STN
154,154 BRAID STN/22ND STREET STN
155,155 BRAID STN/22ND STREET  STN
156,156 BRAID STN/LOUGHEED STN
157,157 COQUITLAM REC CENTRE/LOUGHEED STN
159,159 PORT COQUITLAM STN/BRAID STN
160,160 PORT COQUITLAM STN/VANCOUVER
169,169 COQUITLAM STN/BRAID STN
177,177 COQUITLAM STN/BRAID STN
210,210 UPPER LYNN VALLEY/VANCOUVER
211,211 SEYMOUR/PHIBBS EXCH/VANCOUVER
212,212 DEEP COVE/PHIBBS EXCH
214,214 BLUERIDGE/PHIBBS EXCH/VANCOUVER
228,228 LYNN VALLEY/LONSDALE QUAY
229,229 WESTLYNN/PHIBBS EXCH/LONSDALE QUAY
230,230 UPPER LONSDALE/LONSDALE QUAY
232,232 GROUSE MOUNTAIN/PHIBBS EXCH
236,236 GROUSE MOUNTAIN/LONSDALE QUAY
239,239 CAPILANO UNIVERSITY/PARK ROYAL
240,240 15TH STREET/VANCOUVER
241,241 UPPER LONSDALE/VANCOUVER
242,242 UPPER LONSDALE/VANCOUVER
246,246 LONSDALE QUAY/HIGHLAND/VANCOUVER
247,247 UPPER CAPILANO/GROUSE/VANCOUVER
250,250 HORSESHOE BAY/DUNDARAVE/VANCOUVER
251,251 QUEENS/VANCOUVER/PARK ROYAL
252,252 INGLEWOOD/VANCOUVER/PARK ROYAL
253,253 CAULFEILD/VANCOUVER/PARK ROYAL
254,254 BRITISH PROPERTIES/PARK ROYAL/VAN
255,255 DUNDARAVE/LYNN VALLEY CENTRE
256,256 FOLKSTONE WY/WHITBY ESTATE/SPURAWAY
257,257 HORSESHOE BAY/VANCOUVER EXPRESS
258,258 UBC/WEST VANCOUVER
259,259 LIONS BAY/HORSESHOE BAY
301,301 NEWTON EXCHANGE/BRIGHOUSE STATION
312,312 SCOTTSDALE/SCOTT ROAD STN
314,314 SURREY CENTRAL/SUNBURY/SCOTT RD STN
316,316 SURREY CENTRAL STN/SCOTTSDALE
319,319 SCOTT ROAD STN/NEWTON EXCHA
320,320 LANGLEY/GUILDFORD/SURREY CTRL STN
321,321 WHITE ROCK/NEWTON/SURREY CTRL STN
323,323 NEWTON EXCH/SURREY CENTRAL STN
324,324 NEWTON EXCH/SURREY CENTRAL STN
325,325 NEWTON EXCH/SURREY CENTRAL STN
326,326 GUILDFORD/SURREY CENTRAL STN
332,332 GUILDFORD/SURREY CENTRAL STN
335,335 FLEETWOOD/SURREY CENTRAL STN
340,340 SCOTTSDALE/22ND ST
341,341 GUILDFORD/LANGLEY CENTRE
351,351 CRESCENT BEACH/BRIDGEPORT STAT
364,364 LANGLEY CTR/ SCOTTSDALE EX
375,375 WHITE ROCK/WHITE ROCK STH/GUILDFORD
393,393 NEWTON EXCH/SURREY CENTRAL STN
394,394 WHITE ROCK/KING GEORGE STN EXPRESS
401,401 ONE ROAD/GARDEN CITY
402,402 TWO ROAD/BRIGHOUSE STATION
403,403 BRIDGEPORT STN/THREE ROAD
404,404 LADNER EXCH/BRIGHOUSE STATION
405,405 FIVE ROAD/CAMBIE
407,407 GILBERT/BRIDGEPORT
410,410 22ND ST STN/QUEENSBOROUGH/RAILWAY
430,430 METROTOWN/BRIGHOUSE STATION
480,480 UBC/BRGPORT/BRIGHOUSE STN
501,501 LANGLEY CENTRE/SURREY CENTRAL STN
502,502 ALDGR/BRKSWD/LANGLEY/SURREY STN
590,590 LANGLEY SOUTH/SURREY CENTRAL STN
595,595 HANEY PLACE/LANGLEY CENTRE
601,601 SOUTH DELTA/BOUNDARY BAY/BRIDGEPORT
602,602 TSAWWASSEN HEIGHTS/BRIDGEPORT
609,609 TSAWWASSEN FIRST NATION/SOUTH DELTA
620,620 TSAWWASSEN FERRY/BRIDGEPORT STATION
640,640 LADNER EXCH/SCOTT ROAD STN
701,701 HANEY/MAPLE RIDGE EAST/COQ STN
791,791 HANEY PLACE/BRAID STN
828,828 KWANTLEN PARK SCHOOL
881,881 CARSON GRAHAM SCHOOL SPECIALS
C1,C1 HASTINGS & MACDONALD/KOOTENAY LOOP
C10,C10 BLUEWATER/SNUG COVE
C11,C11 EAGLE CLIFF/SNUG COVE
C12,C12 LIONS BAY/CAULFEILD
C15,C15 INDIAN RVR/DEEP COVE/PHIBBS EXCH
C2,C2 CAPITOL HILL/HASTINGS AT GILMORE
C20,C20 TOTEM PARK/UBC LOOP
C21,C21 YALETOWN/BEACH
C22,C22 HAMPTON PLACE/UBC LOOP
C23,C23 YALETOWN/DAVIE
C24,C24 PORT MOODY STN/LOUGHEED STN
C25,C25 IOCO/PORT MOODY STN
C26,C26 BELCARRA/PORT MOODY STN
C27,C27 COQUITLAM STN/PORT MOODY STN
C28,C28 COQUITLAM STN/PORT MOODY STN
C29,C29 COQUITLAM STN/PARKWAY BOULEVARD
C3,C3 FRASERVIEW/NEW WEST STN
C30,C30 LAFARGE PARK/COQUITLAM STN
C36,C36 PORT COQ STN/PORT COQ SOUTH
C37,C37 PORT COQ STN/PRAIRIE/RIVERSIDE
C38,C38 COQ STN/RIVER SPR/PRAIRIE/POCO
C4,C4 UPTOWN/NEW WESTMINSTER STATION
C40,C40 MERIDIAN/PORT COQUITLAM STN
C43,C43 HANEY PL/MAPLE MDWS STN/MEADOWTOWN
C45,C45 COTTONWOOD/HANEY PLACE
C46,C46 ALBION/HANEY PLACE
C47,C47 ALOUETTE/HANEY PLACE
C49,C49 RUSKIN/HANEY PLACE
C5,C5 ROYAL OAK STN/EDMONDS STN
C50,C50 OCEAN PARK/PEACE ARCH HOSPITAL
C51,C51 OCEAN PARK/WHITE ROCK CENTRE
C52,C52 SEASIDE/WHITE ROCK CENTRE
C53,C53 CRANLEY DRIVE/WHITE ROCK CENTRE
C6,C6 METROTOWN STN/SUNCREST
C60,C60 LANGLEY CENTRE/LANGLEY HOSPITAL
C61,C61 LANGLEY CENTRE/BROOKSWOOD
C62,C62 LANGLEY CENTRE/WALNUT GROVE
C63,C63 LANGLEY CENTRE/FERNRIDGE
C64,C64 LANGLEY CTR/WILLOWBROOK
C7,C7 METROTOWN STN/EDMONDS STN
C70,C70 CLOVERDALE/WILLOWBROOK
C71,C71 SURREY CNTRL/SCOTT RD STN
C73,C73 GUILDFORD/ SURREY CNTRL STN
C74,C74 FRASER HEIGHTS/GUILDFORD/SURREY CEN
C75,C75 NEWTON EX/SUNSHINE HILL/SCOTTSDALE
C76,C76 SCOTTSDALE/LADNER EX
C8,C8 QUAYSIDE/NEW WESTMINSTER STATION
C84,C84 ENGLISH BLUFF/SOUTH DELTA REC CENTR
C86,C86 LADNER SOUTH/LADNER EXCH
C87,C87 EAST LADNER/LADNER EXCH
C88,C88 LADNER NORTH/LADNER EXCH
C89,C89 BOUNDARY BAY/SOUTH DELTA REC CENTRE
C92,C92 AIRPORT STATION/SEA ISLAND SOUTH
C93,C93 RIVERPORT/STEVESTON
C96,C96 EAST CAMBIE/RICHMOND CTR
N10,N10 DOWNTOWN/RICHMOND NIGHTBUS
N15,N15 DOWNTOWN/CAMBIE NIGHTBUS
N16,N16 NANAIMO/RENFREW NIGHTBUS
N17,N17 DOWNTOWN/UBC NIGHTBUS
N19,N19 DOWNTOWN/SURREY CNTRL STN NIGHTBUS
N20,N20 DOWNTOWN/VICTORIA NIGHTBUS
N22,N22 DOWNTOWN/DUNBAR NIGHTBUS
N24,N24 DOWNTOWN/UPPER LONSDALE NIGHTBUS
N35,N35 DOWNTOWN/SFU NIGHTBUS
N6,N6 DOWNTOWN/WEST END NIGHTBUS
N8,N8 DOWNTOWN/FRASER NIGHTBUS
N9,N9 DOWNTOWN/COQUITLAM STN NIGHTBUS
