CONTRIBUTOR_NAME,DATE,AMOUNT,CLASS,PRINCIPAL_OFFICER_1,PRINCIPAL_OFFICER_2,PARTY,CONTRIBUTION_TYPE,EVENT_DATE
HEALTH SCIENCES ASSOCIATION OF BC,2005-07-27,1514.33,4,,,COMMUNIST PARTY OF BC,,
HEALTH SCIENCES ASSOCIATION OF BC,2005-07-27,1514.33,4,,,COMMUNIST PARTY OF BC,,
HEALTH SCIENCES ASSOCIATION OF BC,2005-07-27,1514.33,4,,,COMMUNIST PARTY OF BC,,
CANADIAN UNION OF PUBLIC EMPLOYEES LOCAL 15,2008-10-10,248.5,4,PAUL FAORO,BETTY MCGEE,BC NDP,,
CANADIAN UNION OF PUBLIC EMPLOYEES LOCAL 15,2008-10-29,9,4,PAUL FAORO,BETTY MCGEE,BC NDP,,
COALITION OF PUBLIC EMPLOYEES LOCAL 378,2008-10-10,448,4,ANDY ROSS,LORI MAYHEW,BC NDP,,
COALITION OF PUBLIC EMPLOYEES LOCAL 378,2008-10-29,8530,4,ANDY ROSS,LORI MAYHEW,BC NDP,,
COALITION OF PUBLIC EMPLOYEES LOCAL 378,2008-10-29,54,4,ANDY ROSS,LORI MAYHEW,BC NDP,,
COALITION OF PUBLIC EMPLOYEES LOCAL 378,2008-10-10,270,4,ANDY ROSS,LORI MAYHEW,BC NDP,,
BC GOVERNMENT & SERVICE EMPLOYEES' UNION,2008-10-29,1897.92,4,GEORGE HEYMAN,JUDI FILION,BC NDP,,
BC GOVERNMENT & SERVICE EMPLOYEES' UNION,2008-10-11,2808.8,4,GEORGE HEYMAN,JUDI FILION,BC NDP,,
BC GOVERNMENT & SERVICE EMPLOYEES' UNION,2006-10-18,200,4,GEORGE HEYMAN,JUDI FILION,BC NDP,,
CANADIAN OFFICE & PROFESSIONAL EMPLOYEES UNION LOCAL 378,2006-02-14,200,4,ANDREW ROSS,DAVID BLACK,BC NDP,,
CANADIAN OFFICE & PROFESSIONAL EMPLOYEES UNION LOCAL 378,2006-10-27,200,4,ANDREW ROSS,DAVID BLACK,BC NDP,,
BC GOVERNMENT & SERVICE EMPLOYEES' UNION,2006-01-10,200,4,GEORGE HEYMAN,JUDI FILION,BC NDP,,
NAAT & GW UNION OF CANADA,2005-03-02,250,4,,,BC NDP,,
NAAT & GW UNION OF CANADA,2005-03-04,200,4,,,BC NDP,,
NAAT & GW UNION OF CANADA,2005-05-03,195,4,,,BC NDP,,
NAAT & GW UNION OF CANADA,2005-06-01,500,4,,,BC NDP,,
NAAT & GW UNION OF CANADA,2005-08-05,500,4,,,BC NDP,,
"NANAIMO, DUNCAN & DISTRICT LABOUR COUNCIL",2005-03-09,260,4,,,BC NDP,,
"NANAIMO, DUNCAN & DISTRICT LABOUR COUNCIL",2005-03-24,250,4,,,BC NDP,,
"NANAIMO, DUNCAN & DISTRICT LABOUR COUNCIL",2005-04-29,2250,4,,,BC NDP,,
"NANAIMO, DUNCAN & DISTRICT LABOUR COUNCIL",2005-04-29,2250,4,,,BC NDP,,
"NANAIMO, DUNCAN & DISTRICT LABOUR COUNCIL",2005-04-29,2250,4,,,BC NDP,,
"NANAIMO, DUNCAN & DISTRICT LABOUR COUNCIL",2005-04-29,2250,4,,,BC NDP,,
"NANAIMO, DUNCAN & DISTRICT LABOUR COUNCIL",2005-05-11,2250,4,,,BC NDP,,
"NANAIMO, DUNCAN & DISTRICT LABOUR COUNCIL",2005-10-14,245,4,,,BC NDP,,
"NANAIMO, DUNCAN & DISTRICT LABOUR COUNCIL",2005-11-03,250,4,,,BC NDP,,
"NANAIMO, DUNCAN & DISTRICT LABOUR COUNCIL",2005-11-03,250,4,,,BC NDP,,
INTERNATIONAL ASSOCIATION OF FIRE FIGHTERS LOCAL 905 NANAIMO,2005-05-03,500,4,,,BC NDP,,
INTERNATIONAL ASSOCIATION OF FIRE FIGHTERS LOCAL 905 NANAIMO,2005-05-06,500,4,,,BC NDP,,
SURREY TEACHERS ASSOCIATION,2005-04-19,1200,4,,,BC NDP,,
SURREY TEACHERS ASSOCIATION,2005-04-22,800,4,,,BC NDP,,
SURREY TEACHERS ASSOCIATION,2005-05-17,500,4,,,BC NDP,,
SURREY TEACHERS ASSOCIATION,2005-05-17,500,4,,,BC NDP,,
SURREY TEACHERS ASSOCIATION,2005-12-31,1500,4,,,BC NDP,,
SURREY TEACHERS ASSOCIATION,2005-12-31,1185,4,,,BC NDP,,
SURREY TEACHERS ASSOCIATION,2005-12-31,400,4,,,BC NDP,,
SURREY TEACHERS ASSOCIATION,2005-12-31,1167,4,,,BC NDP,,
VANCOUVER ISLAND & VICTORIA DISTRICT METAL TRADES,2005-03-24,1000,4,,,BC NDP,,
VANCOUVER ISLAND BUILDING & CONSTRUCTION TRADES,2005-03-24,750,4,,,BC NDP,,
VANCOUVER ISLAND BUILDING & CONSTRUCTION TRADES,2005-04-13,250,4,,,BC NDP,,
VANCOUVER ISLAND BUILDING & CONSTRUCTION TRADES,2005-04-18,250,4,,,BC NDP,,
VANCOUVER ISLAND BUILDING & CONSTRUCTION TRADES,2005-05-02,1000,4,,,BC NDP,,
VANCOUVER ISLAND BUILDING & CONSTRUCTION TRADES,2005-05-03,250,4,,,BC NDP,,
VANCOUVER ISLAND BUILDING & CONSTRUCTION TRADES,2005-05-04,250,4,,,BC NDP,,
VANCOUVER ISLAND BUILDING & CONSTRUCTION TRADES,2005-05-04,250,4,,,BC NDP,,
VANCOUVER ISLAND BUILDING & CONSTRUCTION TRADES,2005-05-06,250,4,,,BC NDP,,
VANCOUVER ISLAND BUILDING & CONSTRUCTION TRADES,2005-05-12,250,4,,,BC NDP,,
VANCOUVER ISLAND BUILDING & CONSTRUCTION TRADES,2005-05-17,750,4,,,BC NDP,,
VANCOUVER & DISTRICT LABOUR COUNCIL,2005-03-24,50,4,,,BC NDP,,
VANCOUVER & DISTRICT LABOUR COUNCIL,2005-05-09,100,4,,,BC NDP,,
VANCOUVER & DISTRICT LABOUR COUNCIL,2005-05-10,100,4,,,BC NDP,,
VANCOUVER & DISTRICT LABOUR COUNCIL,2005-05-10,100,4,,,BC NDP,,
VANCOUVER & DISTRICT LABOUR COUNCIL,2005-05-10,100,4,,,BC NDP,,
VANCOUVER & DISTRICT LABOUR COUNCIL,2005-05-11,100,4,,,BC NDP,,
VANCOUVER & DISTRICT LABOUR COUNCIL,2005-05-11,100,4,,,BC NDP,,
